playerID,year,stint,tmID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,bioID,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,deathDate,award_count
abrossv01w,2,0,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abrossv01w,F,0,0,74.0,169,Connecticut,,1980-07-09,0000-00-00,
abrossv01w,3,0,MIN,26.0,23.0,846.0,343.0,43.0,131.0,174.0,53.0,42.0,9.0,85.0,70.0,293.0,114.0,132.0,96.0,76.0,19.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abrossv01w,F,0,0,74.0,169,Connecticut,,1980-07-09,0000-00-00,
abrossv01w,4,0,MIN,26.5,25.0,825.5,328.5,44.0,116.0,160.0,56.5,42.0,9.5,88.5,71.5,304.5,116.5,124.0,76.0,68.0,19.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abrossv01w,F,0,0,74.0,169,Connecticut,,1980-07-09,0000-00-00,
abrossv01w,5,0,MIN,27.666666666666668,25.0,814.3333333333334,325.0,44.0,109.66666666666669,153.66666666666666,65.0,42.66666666666666,10.0,89.0,74.0,298.0,115.0,115.33333333333331,73.66666666666667,72.66666666666667,21.33333333333333,0.6666666666666666,1.0,1.0,23.0,7.666666666666667,0.3333333333333333,1.3333333333333333,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.3333333333333333,2.6666666666666665,2.6666666666666665,7.333333333333333,2.0,2.6666666666666665,2.6666666666666665,2.333333333333333,1.0,0.0,abrossv01w,F,0,0,74.0,169,Connecticut,,1980-07-09,0000-00-00,
abrossv01w,6,0,MIN,26.25,21.5,726.25,280.25,37.25,96.5,133.75,60.0,39.5,8.0,77.5,66.0,258.25,98.5,98.0,62.25,67.75,21.0,0.5,1.25,1.25,34.0,10.75,1.0,2.5,3.5,1.75,1.25,0.75,2.75,3.75,11.25,3.5,3.0,2.5,3.75,1.25,0.0,abrossv01w,F,0,0,74.0,169,Connecticut,,1980-07-09,0000-00-00,
abrossv01w,7,0,MIN,27.2,23.4,736.4,285.0,35.6,92.8,128.4,60.0,41.2,7.6,78.0,70.0,261.8,100.6,93.0,60.4,70.6,23.4,0.4,1.0,1.0,27.2,8.6,0.8,2.0,2.8,1.4,1.0,0.6,2.2,3.0,9.0,2.8,2.4,2.0,3.0,1.0,0.0,abrossv01w,F,0,0,74.0,169,Connecticut,,1980-07-09,0000-00-00,
abrossv01w,8,0,MIN,28.33333333333333,19.83333333333333,734.3333333333334,281.3333333333333,37.0,87.66666666666667,124.66666666666669,59.0,40.0,6.5,75.16666666666667,69.33333333333333,258.3333333333333,100.33333333333331,87.83333333333333,57.16666666666666,69.66666666666667,23.5,0.3333333333333333,0.8333333333333334,0.8333333333333334,22.666666666666668,7.166666666666667,0.6666666666666666,1.6666666666666667,2.333333333333333,1.1666666666666667,0.8333333333333334,0.5,1.8333333333333333,2.5,7.5,2.333333333333333,2.0,1.6666666666666667,2.5,0.8333333333333334,0.0,abrossv01w,F,0,0,74.0,169,Connecticut,,1980-07-09,0000-00-00,
abrossv01w,9,0,CON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,abrossv01w,F,0,0,74.0,169,Connecticut,,1980-07-09,0000-00-00,
adamsjo01w,4,0,MIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,adamsjo01w,C,0,0,75.0,180,New Mexico,,1981-05-24,0000-00-00,
aguilel01w,3,0,UTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,aguilel01w,G,0,0,67.0,165,George Washington,,1976-10-15,0000-00-00,
